PO Number,PO Line,Maximum of Subsidiary,Maximum of Department,Maximum of Location,Maximum of Created By,Maximum of PO Status,Maximum of Date,Maximum of Expected Receipt Date,Maximum of Promise Date,Maximum of Due Date,Maximum of Total Quantity,Maximum of Quantity Fulfilled/Received,Maximum of Open Qty,Maximum of Item Rate,Maximum of Total Quantity Amount,Maximum of Shipping Zip,Maximum of Shipping Country Code,Maximum of Terms,Maximum of Vendor Internal ID,Maximum of Vendor Name,Maximum of Vendor Zip Code,Maximum of Memo,Maximum of Item Internal ID,Maximum of Item MPN Name Custom,Maximum of Item Display Name,Maximum of Item Description,Maximum of Item GL Expense Account,Maximum of Item Type,Maximum of Product Line,Maximum of Primary UOM
P-AE0000017,4,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,Block 200,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,5,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,Block 300,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,6,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,Block 400,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,7,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,Block 500,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,8,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,HVAC,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,9,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,Integration with CTP-01 HOUSE POWER,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,10,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,NOC Remote Desktop/ Full Site Master Config (after full site is online),3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,11,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,NOC Remote Desktop/ Full Site Master Config (after full site is online),3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,12,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,2,0,2,270000.00,540000.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,,3417628,C17-2253-2-Docking Stations,,,Cost of Sales - Services and Solutions,Assembly/Bill of Materials,,
P-BL0000019,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Billing/Partially Received,12/16/2024,12/30/2024,,,2,0,2,409700.00,819400.00,23836,US,Net 30,55292,IC-Ares Energy,61703,Dual Use Generator Docking Stations ,3390659,DS-Generator Docking Station,Generator Docking Station,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000019,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Billing/Partially Received,12/16/2024,12/30/2024,,,1,0,1,78400.00,78400.00,23836,US,Net 30,55292,IC-Ares Energy,61703,1200A Admin Docking Station ,3390659,DS-Generator Docking Station,Generator Docking Station,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-EM0000020,1,Top Company : PwrQ Holdings : Ares-EMK LLC,0000 - None,EMK-822 Central Ave,Sally Hellman,Partially Received,03/30/2026,03/30/2026,,,1,.4,.6,49900.00,49900.00,20147,US,Net 30,53132,"Air Hygiene International, Inc.",74012,"Conduct initial compliance testing on five (5) CAT 3516E gensets for NOx, CO, opacity, and O2.",4360584,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,
P-AE0000024,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,01/15/2025,01/15/2025,,,4,0,4,750.00,3000.00,21090,US,Net 30,55390,IC-Allied Power and Control,21076,Doors for H5 4030 project ,3453673,50210_Cost of Sales - Manufactured Product,Cost of Sales - Manufactured Product,,Cost of Sales - Manufactured Product,Non-inventory Item,,
P-EM0000024,1,Top Company : PwrQ Holdings : Ares-EMK LLC,0000 - None,EMK-822 Central Ave,Sally Hellman,Pending Receipt,07/13/2026,07/27/2026,,,1,0,1,4260.86,4260.86,21090,US,Net 30,53185,Simplex,62711,"Revise Original Order 112216 & 113954  Revise Voltage to 480V Revise Drawing Change Input Power From 208V to 480V Revise Name Plate Information Replace OLR TO PN. 24828006 Replace CB6 and CB7 TO PN. 12701106, 1.6A 2-pole Included options Description Option Qty 12701106 7 Circuit Breaker 2P 1.6A 480Y/277VAC 96VDC(2P in series) 10KAIC 24828006 7 Relay Thermal Contactor Overload 5.0-7.5AMPS Aut Direct TK26E-005 M-LaborRate-E 8 Engineering Rate, Engineer, EE, ME, per hour",4672742,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,
P-BL0000034,1,Top Company : PwrQ Holdings : Bretco LLC,,8373B Greensboro Dr,Amanda Clements,Pending Receipt,07/03/2024,01/02/2025,,,1,0,1,1772148.00,1772148.00,22716,US,Net 30,53099,IEM,94539,LOT PRICING Quote #: 102698 Project: NIH Building 57,3402650,40110 - Open Amount - Upon Delivery,,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000040,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Partially Received,12/26/2024,10/03/2025,,07/24/2025,3,0,3,614.29,1842.87,07823,US,Net 30,53129,VanTran Industries Inc,76702,STORAGE FEES BEGINING 9/15/2025,3409696,Storage Fee,Storage Fee,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-AE0000043,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,01/28/2025,02/11/2025,,,1,0,1,.00,.00,01741,US,Net 30,55390,IC-Allied Power and Control,21076,"SHIP DATE: 06/30/2025 CLASS: SWITCHBOARD ELECTRICAL SPECIFICATIONS DESIGNED AND TESTED IN ACCORDANCE WITH UL/ NATIONAL ELECTRIC CODE / NEMA PB2 SYSTEM VOLTAGE – 480Y/277 VAC 3PH 4W 60HZ SYSTEM AMPACITY - 2000A SOURCE DESCRIPTION – MAX AVAILABLE FAULT CURRENT (RMS) - 65KA BUSSING - COPPER (SILVER PLATED) NEUTRAL BUSS - 100% GROUND - INCLUDED ENCLOSURE – TYPE 3R OUTDOOR ACCESSIBILITY - FRONT ACCESS ONLY SERVICE ENTRANCE RATING – SERVICE ENTRANCE RATED EXTERIOR PAINT COLOR - ANSI-61 GRAY SECTION DETAILS SECTION 1/2 | LUG LANDING SECTION SECTION 2/2 | BREAKER SECTION MAIN BREAKER DETAILS 1 - 2000AF/2000AT; 600VAC MAX; 100% RATED; 650KA AT 480VAC; 3 POLE; UL; FIXED, MANUALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS CIRCUIT BREAKER TYPE WITH RELT & MODBUS COMMS. |  OTHER ACCESSORIES 1 – LOT OF CAMLOCK 2 - HEATERS",3494872,WO-2133-1,"2000A 480/277VAC 3PH 4W SWITCHBOARD, TYPE 3R OUTDOOR","SHIP DATE: 06/30/2025 CLASS: SWITCHBOARD ELECTRICAL SPECIFICATIONS DESIGNED AND TESTED IN ACCORDANCE WITH UL/ NATIONAL ELECTRIC CODE / NEMA PB2 SYSTEM VOLTAGE – 480Y/277 VAC 3PH 4W 60HZ SYSTEM AMPACITY - 2000A SOURCE DESCRIPTION – MAX AVAILABLE FAULT CURRENT (RMS) - 65KA BUSSING - COPPER (SILVER PLATED) NEUTRAL BUSS - 100% GROUND - INCLUDED ENCLOSURE – TYPE 3R OUTDOOR ACCESSIBILITY - FRONT ACCESS ONLY SERVICE ENTRANCE RATING – SERVICE ENTRANCE RATED EXTERIOR PAINT COLOR - ANSI-61 GRAY SECTION DETAILS SECTION 1/2 | LUG LANDING SECTION SECTION 2/2 | BREAKER SECTION MAIN BREAKER DETAILS 1 - 2000AF/2000AT; 600VAC MAX; 100% RATED; 650KA AT 480VAC; 3 POLE; UL; FIXED, MANUALLY OPERATED, ELECTRONIC TRIP UNIT, LONG TIME, SHORT TIME, INSTANTANEOUS CIRCUIT BREAKER TYPE WITH RELT & MODBUS COMMS. |  OTHER ACCESSORIES 1 – LOT OF CAMLOCK 2 - HEATERS",Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each
P-BL0000055,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,01/15/2025,01/15/2025,,,1,0,1,.00,.00,20110,US,Net 30,55292,IC-Ares Energy,61703,Scope: -Wire the CT’s leads with 12/2 SOOW RC to the SATEC enclosure -Wire Lindsey cables to meter enclosure ,3453788,Labor - Standard,Labor - Standard,[FILL IN DESCRIPTION],Cost of Sales - Services and Solutions,Service,,
P-BL0000057,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Receipt,01/16/2025,09/30/2025,,,1,0,1,64340.00,64340.00,04578,US,Net 30,53094,Giga Energy Inc.,77612,MV TRANSFORMER,3455562,DS-Medium Voltage Transformer and Related Products,Medium Voltage Transformer and Related Products,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-AE0000065,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Partially Received,02/14/2025,02/14/2025,,,1,0,1,11720.50,11720.50,20109,US,Net 30,53138,"ASCO Power Technologies, L.P.",60673,"300 Series, Automatic Open Transition Transfer Switch, 4 Pole, 480V, 1200A, Type 1 Encl",3538740,50230_Cost of Sales - Retail Sales,Cost of Sales - Retail Sales,,Cost of Sales - Retail Sales,Non-inventory Item,,
P-AE0000069,1,Top Company : PwrQ Holdings : Ares Energy,1200 - Assembly,822 Central Ave,Sally Hellman,Pending Receipt,02/19/2025,03/05/2025,,,20,0,20,24500.00,490000.00,21090,US,Net 30,55390,IC-Allied Power and Control,21076,"AC Panelboard ""CDP-A1-1-4 thru CDP-E-4"" - NEMA 1 3Ø 4W 120/208V 1200 Amp Copper Bus Braced for 65 KA - Cons of: 1 - Group Mounted Section - Consisting of: 1 - 1000AF/**AT 3-Pole 42K AIC 100% Rated - Main - UL-489 Molded Case Circuit Breaker LSI - L.S.I. Electronic Trip Unit - Padlock Provision 7 - Space for Future Breaker Add 1 - (Lot) Mounting Hardware 1 - Nameplate and Ground 1 - Door-and-Door Trim 1 - (Lot) Silver Plated Copper Bus Bar 1 - (Lot) ANSI 61 Gray Powder Coat Finish",3546423,AC Panelboard CDP-XX,AC Panelboard CDP-XX - 10411 - Judge Smails Phase 1,"AC Panelboard ""CDP-A1-1-4 thru CDP-E-4"" - NEMA 1 3Ø 4W 120/208V 1200 Amp Copper Bus Braced for 65 KA - Cons of: 1 - Group Mounted Section - Consisting of: 1 - 1000AF/**AT 3-Pole 42K AIC 100% Rated - Main - UL-489 Molded Case Circuit Breaker LSI - L.S.I. Electronic Trip Unit - Padlock Provision 7 - Space for Future Breaker Add 1 - (Lot) Mounting Hardware 1 - Nameplate and Ground 1 - Door-and-Door Trim 1 - (Lot) Silver Plated Copper Bus Bar 1 - (Lot) ANSI 61 Gray Powder Coat Finish",Cost of Sales - Services and Solutions,Assembly/Bill of Materials,,Each
P-AE0000069,2,Top Company : PwrQ Holdings : Ares Energy,1200 - Assembly,822 Central Ave,Sally Hellman,Pending Receipt,02/19/2025,03/05/2025,,,20,0,20,13200.00,264000.00,21090,US,Net 30,55390,IC-Allied Power and Control,21076,1000A 480V NEMA1 for output of each Critical Distribution Transformer 65kaic @ 208v Mechanical Lug in/out,3546423,CDT-ECB-XX-X,Enclosed Circuit Breakers - 10411 - Judge Smails - Phase 1,1000A 480V NEMA1 for output of each Critical Distribution Transformer 65kaic @ 208v Mechanical Lug in/out,Cost of Sales - Services and Solutions,Assembly/Bill of Materials,,Each
P-AE0000085,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,02/25/2025,03/11/2025,,,1,0,1,250.00,250.00,20705,US,Net 30,55390,IC-Allied Power and Control,21076,CUSTOM ASSEMBLY REGULAR FILLER PLATE FOR CUSTMTKUTS800S-A (C17-1558),3559074,RFP-CUSMTKUTS800S-A,CUSTOM ASSEMBLY REGULAR FILLER PLATE FOR CUSTMTKUTS800S-A (C17-1558),CUSTOM ASSEMBLY REGULAR FILLER PLATE FOR CUSTMTKUTS800S-A (C17-1558),Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each
P-AE0000085,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,02/25/2025,03/11/2025,,,1,0,1,250.00,250.00,20705,US,Net 30,55390,IC-Allied Power and Control,21076,CUSTOM ASSEMBLY MOUNTING KIT FOR EXTENDED COPPER SPRADS OF SINGLE UTS800 FRAME (C17-1557),3559074,CUSMTKUTS800S-A,CUSTOM ASSEMBLY MOUNTING KIT FOR EXTENDED COPPER SPRADS OF SINGLE UTS800 FRAME (C17-1557),CUSTOM ASSEMBLY MOUNTING KIT FOR EXTENDED COPPER SPRADS OF SINGLE UTS800 FRAME (C17-1557),Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each
P-BL0000095,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Receipt,01/29/2025,02/07/2025,,,2,0,2,.00,.00,01701,US,Net 30,55390,IC-Allied Power and Control,21076,POWER TRANSFORMER 500VA 16 TERMINAL SCREW TERMINAL FLANGE MOUNT,3497363,PH500AJ,POWER TRANSFORMER 500VA 16 TERMINAL SCREW TERMINAL FLANGE MOUNT,POWER TRANSFORMER 500VA 16 TERMINAL SCREW TERMINAL FLANGE MOUNT,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-BL0000095,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Receipt,01/29/2025,02/07/2025,,,4,0,4,.00,.00,01701,US,Net 30,55390,IC-Allied Power and Control,21076,"FUSE: 2.5A 600VAC TIME DLY, REJ BUSS FUSES",3497363,VMI - INV - FNQ-R-2-1/2,"FUSE: 2.5A 600VAC TIME DLY, REJ BUSS FUSES","FUSE: 2.5A 600VAC TIME DLY, REJ BUSS FUSES",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-BL0000095,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Receipt,01/29/2025,02/07/2025,,,2,0,2,.00,.00,01701,US,Net 30,55390,IC-Allied Power and Control,21076,"FUSE: 6A 600VAC TIME DLY, REJ BUSS FUSES",3497363,VMI - INV - FNQ-R-6,"FUSE: 6A 600VAC TIME DLY, REJ BUSS FUSES","FUSE: 6A 600VAC TIME DLY, REJ BUSS FUSES",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-BL0000095,4,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Receipt,01/29/2025,02/07/2025,,,2,0,2,.00,.00,01701,US,Net 30,55390,IC-Allied Power and Control,21076,"Eaton miniature circuit breaker, current-limiting, 15A, 277 VAC / 48 VDC, 1-pole, B curve, thermal magnetic, 14kA @ 277 VAC interrupting rating, 35mm DIN rail mount.",3497363,FAZ-B15-1-NA-SP,"Eaton miniature circuit breaker, current-limiting, 15A, 277 VAC / 48 VDC, 1-pole, B curve, thermal magnetic, 14kA @ 277 VAC interrupting rating, 35mm DIN rail mount.","Eaton miniature circuit breaker, current-limiting, 15A, 277 VAC / 48 VDC, 1-pole, B curve, thermal magnetic, 14kA @ 277 VAC interrupting rating, 35mm DIN rail mount.",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-BL0000095,5,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Receipt,01/29/2025,02/07/2025,,,8,0,8,.00,.00,01701,US,Net 30,55390,IC-Allied Power and Control,21076,ALTECH 5MM TERMINAL BLOCK GREY,3497363,CTS2.5U-N,ALTECH 5MM TERMINAL BLOCK GREY,ALTECH 5MM TERMINAL BLOCK GREY,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AE0000102,4,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Sally Hellman,Partially Received,03/11/2025,01/30/2026,,,22,0,22,2583.30,56832.60,21090,US,Net 30,42194,EATON CORPORATION,15108,"Qty (22) - Set of (3) ABB SCV 1500:5 CTs = $ 56,832.60 ",3588362,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,
P-BL0000116,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Receipt,02/03/2025,02/03/2025,,,1,0,1,.00,.00,22102,US,Net 30,55390,IC-Allied Power and Control,21076,REPLACEMENT CORE MODULES - A1R1-122 → 172.16.8.15 A1R1-123 → 172.16.8.16 A1R1-221 → 172.16.8.20 B1R1-113 → 172.16.8.37 B1R1-121 → 172.16.8.38 C1R1-213 → 172.16.8.67 C1R1-211 → 172.16.8.65 C1R1-311 → 172.16.8.71 D1R1-211 → 172.16.8.89,3506403,WO-WASP-RPP-PH1,REPLACEMENT CORE MODULES,REPLACEMENT CORE MODULES - A1R1-122 → 172.16.8.15 A1R1-123 → 172.16.8.16 A1R1-221 → 172.16.8.20 B1R1-113 → 172.16.8.37 B1R1-121 → 172.16.8.38 C1R1-213 → 172.16.8.67 C1R1-211 → 172.16.8.65 C1R1-311 → 172.16.8.71 D1R1-211 → 172.16.8.89,Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each
P-BL0000121,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Morgen Cooner,Pending Receipt,02/07/2025,06/13/2025,,,1,0,1,57250.00,57250.00,04443,US,Net 30,53094,Giga Energy Inc.,77612," New 3-Phase Padmount Transformer  Project Name: Swartly Rated Capacity: 1000 kVA Phase: 3 Phase High Voltage: 12470 GY/ 7200 Low Voltage: 600 GY/ 346 BIL: HV 95 kV; LV 30 kV HV Taps: 2 above, 2 below @ 2.5% HV Bushings: (6) Wells and Inserts 200 A 15 kV Loadbreak - Dead Front Loop Feed LV Bushings: (4) 10-Hole with supports staggered Cabinet Depth: 30"" Fluid: FR3 Cooling Class: KNAN X/R Ratio: 6 Frequency: 60 Hz Temperature Rise: 65C Winding Material: Aluminum Fusing: Bayonet w/ CLFs Impedance: Z= 5.75% +/- 7.5% Switch: 4-pos. T-blade LBOR Liquid Level Gauge w/ alarm contacts Oil Temperature Gauge w/ alarm contacts Pressure Vacuum Gauge w/ alarm contacts Qualitrol Dial Type Thermometer w/ alarm contacts Winding Temperature Gauge w/ alarm contacts Gaugues Provided External to HV/LV Compartments Drain and Sample Valve Pressure Relief Valve Schrader Valve Electrostatic Shield Nitrogen Blanket Required H0 Bushings in Primary Required X0 Bushings in Secondary K-5 Rated Munsell No 7.0 GY3 UL Listed.29/1.5G Approval Drawing: 2-4 weeks after order Lead-time: 20 weeks after release Freight: Included Warranty: 3 years",3518519,DS-Medium Voltage Transformer and Related Products,Medium Voltage Transformer and Related Products,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-AL0000123,1,Top Company : PwrQ Holdings : Allied Power and Control,6300 - Facilities,7200 Standard Dr,Abdur Rehman Zia,Pending Receipt,12/20/2024,12/20/2024,,,1,0,1,2870.00,2870.00,21076,US,Net 30,59569,"Greenfox Services, Inc",21045,Task# CBS-110  Replace manufacturer specific control module board VSM that controls all operations of the condensing fan motor Replace the condensing fan motor,3405554,53510_Factory repairs and maintenance,Factory repairs and maintenance,,Factory repairs and maintenance,Non-inventory Item,,
