PO Number,PO Line,Maximum of Subsidiary,Maximum of Department,Maximum of Location,Maximum of Created By,Maximum of PO Status,Maximum of Date,Maximum of Expected Receipt Date,Maximum of Promise Date,Maximum of Due Date,Maximum of Total Quantity,Maximum of Quantity Fulfilled/Received,Maximum of Open Qty,Maximum of Item Rate,Maximum of Total Quantity Amount,Maximum of Shipping Zip,Maximum of Shipping Country Code,Maximum of Terms,Maximum of Vendor Internal ID,Maximum of Vendor Name,Maximum of Vendor Zip Code,Maximum of Memo,Maximum of Item Internal ID,Maximum of Item MPN Name Custom,Maximum of Item Display Name,Maximum of Item Description,Maximum of Item GL Expense Account,Maximum of Item Type,Maximum of Product Line,Maximum of Primary UOM
P-AE0000003,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/11/2024,12/11/2024,,,1,0,1,65000.00,65000.00,21090,US,Net 30,55390,IC-Allied Power and Control,21076,Copper Buss,3381113,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,Switchgear - UL 1558,
P-AE0000003,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/11/2024,12/15/2024,,,1,0,1,.00,.00,21090,US,Net 30,55390,IC-Allied Power and Control,21076,"1/8"" THICK ALUMINUM GRADE 5052 8'X4' SHEET",3381113,0.125AL5052-8X4,"1/8"" THICK ALUMINUM GRADE 5052 8'X4' SHEET","1/8"" THICK ALUMINUM GRADE 5052 8'X4' SHEET",Cost of Sales - Manufactured Product,Inventory Item,Switchgear - UL 1558,Sheet
P-AE0000005,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/12/2024,12/12/2024,,,1,0,1,5524.42,5524.42,21090,US,Net 30,42194,EATON CORPORATION,15108,"PXM2260MA65125 -  $5,524.42",3384824,50230_Cost of Sales - Retail Sales,Cost of Sales - Retail Sales,,Cost of Sales - Retail Sales,Non-inventory Item,,
P-AE0000007,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/19/2024,12/19/2024,,,1,0,1,99401.00,99401.00,21090,US,Net 30,53185,Simplex,62711,Saturn - 3000-415,3402229,50230_Cost of Sales - Retail Sales,Cost of Sales - Retail Sales,,Cost of Sales - Retail Sales,Non-inventory Item,,
P-AE0000007,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/19/2024,12/19/2024,,,1,0,1,92335.00,92335.00,21090,US,Net 30,53185,Simplex,62711,Saturn - 3000-480,3402229,50230_Cost of Sales - Retail Sales,Cost of Sales - Retail Sales,,Cost of Sales - Retail Sales,Non-inventory Item,,
P-AE0000009,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Billing/Partially Received,12/23/2024,12/23/2024,,,1,.4,.6,19040.00,19040.00,21090,US,Net 30,59592,Kegan Engineering Group PLLC,28227,"SOO Development, FDS, Graphics Standard $19,040",3406343,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,
P-AE0000009,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Billing/Partially Received,12/23/2024,12/23/2024,,,1,.65,.35,68480.00,68480.00,21090,US,Net 30,59592,Kegan Engineering Group PLLC,28227,"RTAC HMI & Automation, and Relay Settings Development $68,480 ",3406343,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,
P-AE0000009,3,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Billing/Partially Received,12/23/2024,12/23/2024,,,1,.7,.3,25440.00,25440.00,21090,US,Net 30,59592,Kegan Engineering Group PLLC,28227,"Lab Testing & System Validation $25,440 ",3406343,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,
P-AE0000009,6,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Billing/Partially Received,12/23/2024,12/31/2025,,,1,0,1,2400.00,2400.00,21090,US,Net 30,59592,Kegan Engineering Group PLLC,28227,CHANGE ORDER #1 Provide IEC 61850 MMS Licenses for seven (7) RTAC units ,3406343,Third Party Services,Third Party Services,,Cost of Sales - Services and Solutions,Service,,
P-AE0000017,1,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,Systems Engineering,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,2,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,PLC System Components,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
P-AE0000017,3,Top Company : PwrQ Holdings : Ares Energy,0000 - None,822 Central Ave,Christina Castle,Pending Receipt,12/30/2024,01/13/2025,,01/13/2025,1,0,1,.00,.00,20190,US,Net 30,55390,IC-Allied Power and Control,21076,Block 100,3417628,40310 - POC Cutover Revenue,,,Cost of Sales - Services and Solutions,Non-inventory Item,,
